episode,reward,rolling_reward_50
543,212.80839268104117,56.82158328355873
544,166.74286663948203,54.70948969804704
545,186.8801327605443,60.64609000361178
546,-25.382784658717597,56.324183996735755
547,84.2185499525658,57.890011600376056
548,-86.50283315288662,56.43752687727226
549,-64.29663507757816,54.786534271914405
550,-43.70426924931792,50.48936176625601
551,-73.28940403679101,48.6914423030939
552,-176.79365119140166,39.45898861632275
553,-52.99139670935223,38.21790432844739
554,291.4648714713464,44.684987571882324
555,-179.3901862134682,42.107332652349996
556,252.01485006142912,47.54338012275783
557,118.16003761266936,45.44556137482972
558,184.00430561955778,44.771344751642175
559,208.2423972850139,49.547899825318396
560,-307.81098754963745,38.14222389436053
561,161.00855738953845,40.32114113549577
562,202.73467161533532,39.196065475111226
563,230.3025498301279,44.29050266483894
564,250.42798609785038,48.92286429564967
565,-126.87018530708889,46.808715087483776
566,256.73171475767566,48.463849716963274
567,253.913008162758,48.41256046152129
568,-224.5299790534741,44.51480183382165
569,270.53572204126226,51.02692997236358
570,247.65817900269718,56.381714945729485
571,254.41613802263785,62.458563733952744
572,237.4833138256,67.30170473749318
573,-95.63656492163373,60.85930289692684
574,-7.821188555242344,65.0636791494857
575,29.82065839923189,66.520285568331
576,232.57000194882056,71.9090794324093
577,-11.157272408944536,72.27391375432697
578,248.58573715605698,77.55835841538426
579,171.72773228280295,82.5624251867252
580,-34.1453065628137,82.81721381448229
581,285.22249635726973,88.72951773664245
582,264.68608421426586,94.33890396868733
583,4.9255370277041095,89.33509318648362
584,277.7959628584007,96.15075865669411
585,248.2281588756855,98.13723733116697
586,-20.596332718065455,93.8179573205597
587,279.72453103274404,95.57653572341823
588,5.4894400476892,95.42481631308921
589,231.55283598816234,95.40042019286174
590,277.22563741167323,102.2163723445472
591,258.20231253209874,101.95104354718814
592,271.05006735497705,112.51272921900605
593,275.752636051647,113.77161408641818
594,258.4017535609838,115.6047918248482
595,258.91938019843997,117.04557677360611
596,261.80078993106554,122.78924826540178
597,298.3151128797278,127.071179523945
598,278.62347411977896,134.3737056693983
599,236.09295268350868,140.38149742462005
600,278.91087716442144,146.83380035289485
601,-1.8798094750384706,148.2619922441299
602,250.1383069184631,156.8006314063272
603,278.7743086885202,163.43594551428464
604,298.50201659877956,163.5766884168333
605,228.97478607713782,171.74398786264544
606,289.49590136218,172.49360888866045
607,207.70003122721894,174.28440876095144
608,202.39332291543968,174.65218910686906
609,271.91080890112426,175.92555733919127
610,269.50785607275407,187.4719342116391
611,278.402440282066,189.81981186948968
612,247.5233260186211,190.7155849575554
613,263.2348968733422,191.37423189841968
614,189.34527098769593,190.1525775962166
615,298.0274400781898,198.65053010392214
616,296.88143753373186,199.45352455944328
617,5.368973568456596,194.48264386755727
618,252.49533709353437,204.02315019049743
619,257.0500306846477,203.75343636336513
620,303.822510943544,204.87672300218205
621,52.71505572666851,200.84270135626264
622,250.21498582777272,201.09733479630611
623,262.1416764478994,208.2528996236968
624,229.38957416379162,212.99711487807744
625,262.5075819127078,217.65085334834697
626,-17.209999883376923,212.65525331170304
627,268.9204752415395,218.25680826471273
628,230.447473026611,217.8940429821238
629,276.5938127978024,219.99136459242376
630,286.0341280149767,226.3949532839796
631,275.4901827479253,226.20030701179272
632,-148.54738298481195,217.93563766781114
633,234.14322540880283,222.51999143543313
634,249.85469281360406,221.9611660345372
635,263.71554918497384,222.27091384072295
636,280.0313855931152,228.2834682069466
637,272.82492467280935,228.14547607974788
638,254.72575180524416,233.13020231489898
639,-15.425006306016954,228.19064546901538
640,30.662395668628193,223.25938063415447
641,246.977189939513,223.03487818230278
642,189.53480653539373,221.40457296591114
643,270.4314462352784,221.29814916958378
644,-199.45221481787954,212.14106980200646
645,270.16828632364457,212.36604792451055
646,198.940273703988,211.10883759996904
647,238.10728613395443,209.90468106505355
648,241.4998310531737,209.16220820372146
649,20.556673914831137,204.8514826283479
650,-11.54591440429516,199.04234679697353
651,-66.34720169608157,197.7529989525527
652,250.6040796435021,197.76231440705348
653,-37.277723080054685,191.44127377168195
654,254.713212579294,190.56549769129225
655,219.62716757021943,190.3785453211539
656,243.77599242557233,189.46414714242175
657,223.03067248871022,189.77075996765157
658,249.51297452166608,190.7131529997761
659,19.441235013021256,185.66376152201403
660,241.66389243758502,185.10688224931064
661,261.9852369940936,184.7785381835512
662,-33.1529689647374,179.16501228388404
663,275.49622722186893,179.4102388908546
664,-104.00340644334834,173.5432653422337
665,231.2475973848399,172.20766848836666
666,21.22875273530883,166.69461479239823
667,250.26869338493742,171.59260918872783
668,237.72845302749494,171.2972715074071
669,-35.055491908543814,165.45516105554324
670,234.88814307347513,164.07647369814185
671,233.36563834524594,167.68948535051342
672,278.21081182180893,168.24940187039414
673,287.99355438715133,168.76643942917914
674,-27.33477390679427,163.63195246776743
675,215.36583229390436,162.68911747539136
676,259.2141209083048,168.217599891225
677,236.30297841805356,167.56524995475533
678,245.792065079519,167.87214179581346
679,242.9296887037118,167.19885931393162
680,288.77020726455703,167.25358089892325
681,237.3140506493018,166.49005825695076
682,294.6153717983117,175.35331335261324
683,235.31159363844364,175.37668071720609
684,292.6519441456752,176.23262574384748
685,-29.97323032111757,170.35885015372565
686,-36.181381258407924,164.0345948166952
687,269.8747735661568,163.97559179456215
688,-225.35213874478362,154.3740339835616
689,241.65049877638148,159.51554408520957
690,275.4522388512639,164.4113409488623
691,-9.342245031052414,159.28495224945095
692,259.879763847858,160.69185139570027
693,103.76185968602432,157.35845966471518
694,231.83394518886985,165.98418286485017
695,7.8015144050328615,160.7368474264779
696,225.69623590140395,161.27196667042622
697,253.40149983742742,161.5778509444957
698,298.1177301372038,162.7102089261763
699,217.1622937344971,166.64232132256961
700,230.8979015986034,171.49119764262758
701,281.51996800791244,178.44854103670747
702,267.05451773982406,178.7775497986339
703,37.98212262385911,180.28274671271217
704,256.134278797306,180.31116803707243
705,252.24865775194075,180.96359784070685
706,13.879912440394548,176.36567624100329
707,4.107874169428456,171.98722027461764
708,277.82940316903375,172.553548847565
709,228.55995218951256,176.73592319109483
710,241.4327718925623,176.73130078019437
711,230.18771398297093,176.09535031997194
712,6.562649336566608,176.88966268599805
713,190.7386610449623,175.1945113624599
714,275.645292602538,182.7874853433776
715,45.93391237744271,179.08121164322966
716,261.7618113904938,183.89187281633335
717,-553.8022164764192,167.81045461910625
718,280.8500883706221,168.67288732596876
719,242.33883853065808,174.2207739347528
720,253.05087660542978,174.5840286053919
721,21.48166076926286,170.34634905387222
722,301.01883090423337,170.80250943552073
723,309.5055931744299,171.2327502112663
724,238.6737869199524,176.5529214278012
725,255.6165781567126,177.3579363450574
726,268.3455611171954,177.54056514923522
727,236.23516901835507,177.53920896124123
728,225.4348899707518,177.1320654590659
729,298.6593871305057,178.2466594276018
730,255.77990463948478,177.58685337510036
731,279.0338610781182,178.42124958367668
732,231.5043584170573,177.15902931605157
733,265.8068113620981,177.76893367052466
734,-0.677683791691706,171.90234111177733
735,257.45769943729016,177.65095970694549
736,251.33649942152778,183.40131732054422
737,-96.61130236778058,176.07159580186544
738,241.01676841948185,185.39897394515074
739,277.37198207471164,186.11340361111735
740,18.62058318163446,180.97677049772474
741,243.54649056340213,186.03454520961384
742,296.28435446205503,186.76263702189783
743,258.21082827944167,189.85161639376616
744,274.86633758470407,190.71226424168285
745,245.9246101237176,195.47472615605653
